grid_id,class,percent_Q12024,percent_Q22024,change_pct
19,1,68.0,1.0,-67.0
19,2,0.0,0.0,0.0
19,3,0.0,0.0,0.0
19,4,0.0,0.0,0.0
19,5,32.0,99.0,67.0
19,6,0.0,0.0,0.0
19,7,0.0,0.0,0.0
19,8,0.0,0.0,0.0
20,0,0.0,0.0,0.0
20,1,83.0,0.0,-83.0
20,2,0.0,0.0,0.0
20,3,0.0,0.0,0.0
20,4,0.0,0.0,0.0
20,5,17.0,100.0,83.0
20,6,0.0,0.0,0.0
20,7,0.0,0.0,0.0
20,8,0.0,0.0,0.0
21,0,0.0,0.0,0.0
21,1,100.0,86.36363636363636,-13.63636363636364
21,2,0.0,0.0,0.0
21,3,0.0,0.0,0.0
21,4,0.0,0.0,0.0
21,5,0.0,13.636363636363635,13.636363636363635
21,6,0.0,0.0,0.0
21,7,0.0,0.0,0.0
21,8,0.0,0.0,0.0
22,0,0.0,0.0,0.0
22,1,76.40449438202246,12.359550561797752,-64.04494382022472
22,2,0.0,0.0,0.0
22,3,0.0,0.0,0.0
22,4,6.741573033707865,1.1235955056179776,-5.617977528089887
22,5,16.853932584269664,86.51685393258427,69.6629213483146
22,6,0.0,0.0,0.0
22,7,0.0,0.0,0.0
22,8,0.0,0.0,0.0
23,0,0.0,0.0,0.0
23,1,15.0,11.0,-4.0
23,2,9.0,0.0,-9.0
23,3,0.0,0.0,0.0
23,4,69.0,4.0,-65.0
23,5,7.000000000000001,85.0,78.0
23,6,0.0,0.0,0.0
23,7,0.0,0.0,0.0
23,8,0.0,0.0,0.0
24,0,0.0,0.0,0.0
24,1,67.0,62.0,-5.0
24,2,3.0,0.0,-3.0
24,3,0.0,0.0,0.0
24,4,4.0,0.0,-4.0
24,5,26.0,38.0,12.0
24,6,0.0,0.0,0.0
24,7,0.0,0.0,0.0
24,8,0.0,0.0,0.0
25,0,0.0,0.0,0.0
25,1,100.0,65.0,-35.0
25,2,0.0,0.0,0.0
25,3,0.0,0.0,0.0
25,4,0.0,0.0,0.0
25,5,0.0,35.0,35.0
25,6,0.0,0.0,0.0
25,7,0.0,0.0,0.0
25,8,0.0,0.0,0.0
26,0,0.0,0.0,0.0
26,1,60.0,3.0,-57.0
26,2,0.0,0.0,0.0
26,3,0.0,0.0,0.0
26,4,0.0,0.0,0.0
26,5,40.0,97.0,57.0
26,6,0.0,0.0,0.0
26,7,0.0,0.0,0.0
26,8,0.0,0.0,0.0
27,0,0.0,0.0,0.0
27,1,36.0,0.0,-36.0
27,2,0.0,0.0,0.0
27,3,0.0,0.0,0.0
27,4,0.0,0.0,0.0
27,5,64.0,100.0,36.0
27,6,0.0,0.0,0.0
27,7,0.0,0.0,0.0
27,8,0.0,0.0,0.0
28,0,0.0,0.0,0.0
28,1,97.36842105263158,38.15789473684211,-59.210526315789465
28,2,0.0,0.0,0.0
28,3,0.0,0.0,0.0
28,4,0.0,0.0,0.0
28,5,2.631578947368421,61.8421052631579,59.21052631578948
28,6,0.0,0.0,0.0
28,7,0.0,0.0,0.0
28,8,0.0,0.0,0.0
29,0,0.0,0.0,0.0
29,1,43.859649122807014,0.0,-43.859649122807014
29,2,0.0,0.0,0.0
29,3,0.0,0.0,0.0
29,4,56.14035087719298,0.0,-56.14035087719298
29,5,0.0,100.0,100.0
29,6,0.0,0.0,0.0
29,7,0.0,0.0,0.0
29,8,0.0,0.0,0.0
30,0,0.0,0.0,0.0
30,1,3.0,4.0,1.0
30,2,0.0,0.0,0.0
30,3,0.0,0.0,0.0
30,4,66.0,0.0,-66.0
30,5,31.0,96.0,65.0
30,6,0.0,0.0,0.0
30,7,0.0,0.0,0.0
30,8,0.0,0.0,0.0
31,0,0.0,0.0,0.0
31,1,37.0,19.0,-18.0
